uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
DHBM35,,2,8,14,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,8,4,4,8,4,1,1,2,2,2,1,2,4,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
DHBM36,,2,8,14,0,3,2,3,3,3,3,3,3,2,1,1,2,3,1,2,3,2,2,1,1,3,8,1,2,1,2,2,2,1,2,4,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1
DHBM37,"SOW RANI TARARAJA HIGHSCHOOL,BHOOM",2,10,16,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,4,4,4,8,4,2,3,2,2,2,1,2,4,0,0,1,0,1,1,1,1,1,1,1,0,0,1,7,1
DHBM38,,2,10,16,0,3,2,3,3,3,2,1,2,2,1,1,1,2,1,2,3,6,6,1,5,6,1,8,1,1,2,2,2,1,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
DHBM39,,2,8,14,0,3,2,3,3,3,2,1,1,2,1,1,1,2,1,2,3,6,6,1,1,6,1,1,1,1,2,2,2,1,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,1
DHBM40,,2,8,14,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,6,6,4,4,4,4,4,3,3,0,0,3,3,0,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,7,1
DHBM41,"SWAMI VIVEKANAND SECONDARY SCHOOL,ANTARWALI",2,8,14,1,3,0,1,1,1,2,1,3,2,1,1,1,3,3,1,3,2,2,1,2,2,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,2
DHBM42,,2,10,16,1,3,0,1,1,1,2,1,3,2,1,1,1,3,3,4,3,2,2,1,2,2,1,2,2,1,2,2,1,3,2,4,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
DHBM43,,2,10,16,0,3,2,1,1,3,2,1,3,2,1,2,3,3,1,2,3,6,6,1,1,2,1,8,2,1,2,0,1,2,2,4,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1
DHBM44,,2,8,14,0,3,2,3,3,3,3,3,3,3,3,3,1,3,3,4,3,6,6,1,1,6,8,8,3,1,0,0,0,2,2,4,1,1,1,0,0,0,1,1,1,0,1,0,0,1,7,
DHDH236,"SHIV PARVATI SECONDARY SCHOOL, WAGHOLI",1,8,14,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,6,3,2,2,1,4,2,8,8,1,1,2,2,3,3,2,4,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1
DHDH237,,1,9,15,2,3,2,1,1,3,3,3,3,2,1,3,3,3,1,4,3,2,2,1,1,2,8,8,3,1,2,2,3,3,2,4,1,1,1,0,1,0,1,1,1,1,1,0,0,1,7,1
DHDH238,,2,9,15,1,2,2,0,0,2,2,2,3,3,1,0,3,3,3,4,3,4,8,4,0,7,8,8,2,1,2,2,3,3,2,4,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
DHDH239,,2,8,14,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,8,4,4,8,7,3,1,3,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
